Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
QQQM,246.97,3/6/26,16:00 EST,-3.75,247.175,249.52,246.39,3794468,20260226,249.94,2,1.24,,,,
SMH,380.56,3/6/26,16:00 EST,-14.79,384.6897,392.66,378.53,12349750,20260226,409.35,1,1.02,,,,
XLU,46.74,3/6/26,16:00 EST,-0.16,46.63,46.96,46.34,24893265,20260226,47.12,4,1,,,,
VEA,65.28,3/6/26,16:00 EST,-0.510002,64.635,65.59,64.41,18422004,20260212,68.75,6,1.03,,,,
VEA,65.28,3/6/26,16:00 EST,-0.510002,64.635,65.59,64.41,18422004,20260127,66.83,8,0,,,Sarwa January 2026,
VEA,65.28,3/6/26,16:00 EST,-0.510002,64.635,65.59,64.41,18422004,20260206,65.9,7,1.15,,,,
VEA,65.28,3/6/26,16:00 EST,-0.510002,64.635,65.59,64.41,18422004,20260129,66.96,6,0,,,Sarwa January 2026,
DIA,475.23,3/6/26,16:00 EST,-4.60999,473.72,476.23,470.46,8001813,20260127,489.1,1,0,,,Sarwa January 2026,
DIA,475.23,3/6/26,16:00 EST,-4.60999,473.72,476.23,470.46,8001813,20260127,489.1,1,0,,,Sarwa January 2026,
DIA,475.23,3/6/26,16:00 EST,-4.60999,473.72,476.23,470.46,8001813,20260211,500.45,1,1.25,,,,
VGT,719.03,3/6/26,16:00 EST,-14.24,722.2,731.475,716.05,409401,20251107,744.18,0.5,0,,,Sarwa November 2025,
VGT,719.03,3/6/26,16:00 EST,-14.24,722.2,731.475,716.05,409401,20251028,790.98,0.6,0,,,Sarwa October 2025,
VGT,719.03,3/6/26,16:00 EST,-14.24,722.2,731.475,716.05,409401,20260203,736.37,1,1.84,,,,
VGT,719.03,3/6/26,16:00 EST,-14.24,722.2,731.475,716.05,409401,20251031,796.17,1,0,,,Sarwa October 2025,
VGT,719.03,3/6/26,16:00 EST,-14.24,722.2,731.475,716.05,409401,20251030,796.48,1,0,,,Sarwa October 2025,
VGT,719.03,3/6/26,16:00 EST,-14.24,722.2,731.475,716.05,409401,20251106,761.37,0.4,0,,,Sarwa November 2025,
VGT,719.03,3/6/26,16:00 EST,-14.24,722.2,731.475,716.05,409401,20251124,734.87,1,0,,,Sarwa November 2025,
VGT,719.03,3/6/26,16:00 EST,-14.24,722.2,731.475,716.05,409401,20260108,751.51,1,0,,,Sarwa January 2026,
EFA,98.28,3/6/26,16:00 EST,-0.880005,97.27,98.69,97.06,27727296,20260213,104.32,2,1,,,,
EFA,98.28,3/6/26,16:00 EST,-0.880005,97.27,98.69,97.06,27727296,20251031,94.46,5,0,,,Sarwa October 2025,
EFA,98.28,3/6/26,16:00 EST,-0.880005,97.27,98.69,97.06,27727296,20260108,97.75,5,0,,,Sarwa January 2026,
EFA,98.28,3/6/26,16:00 EST,-0.880005,97.27,98.69,97.06,27727296,20251208,95.57,5,0,,,Sarwa December 2025,
VOO,618.43,3/6/26,16:00 EST,-8.38,619.335,621.82,616,9680498,20251022,614,1,,,,Sarwa October 2025,
VOO,618.43,3/6/26,16:00 EST,-8.38,619.335,621.82,616,9680498,20251030,628.09,1,,,,Sarwa October 2025,
VOO,618.43,3/6/26,16:00 EST,-8.38,619.335,621.82,616,9680498,20251031,628.21,1,,,,Sarwa October 2025,
VOO,618.43,3/6/26,16:00 EST,-8.38,619.335,621.82,616,9680498,20251106,615.77,0.544032531,,,,Sarwa November 2025,
VOO,618.43,3/6/26,16:00 EST,-8.38,619.335,621.82,616,9680498,20251107,609.07,1,,,,Sarwa November 2025,
VOO,618.43,3/6/26,16:00 EST,-8.38,619.335,621.82,616,9680498,20251107,608.09,0.715349929,,,,Sarwa November 2025,
VOO,618.43,3/6/26,16:00 EST,-8.38,619.335,621.82,616,9680498,20251121,600.68,1,,,,Sarwa November 2025,
VOO,618.43,3/6/26,16:00 EST,-8.38,619.335,621.82,616,9680498,20251215,625.97,1,,,,Sarwa December 2025,
VOO,618.43,3/6/26,16:00 EST,-8.38,619.335,621.82,616,9680498,20260108,633.92,1,,,,Sarwa January 2026,
VOO,618.43,3/6/26,16:00 EST,-8.38,619.335,621.82,616,9680498,20260113,638.11,1,,,,Sarwa January 2026,